submission_id,QUD,RT,age,comments,condition,education,endTime,experiment_id,gender,id,languages,option1,optionLeft,optionRight,question,reaction_times,response,sentence,startDate,startTime,timeSpent,time_spent,trial_name,trial_number,type
2438,The judge asks:|The witness responds:,5697,24,Some of the sentences weren't understandable enough for me (answers like comparably low/high when the question wasn't about numbers). Sometimes I did forget the last sentence and couldn't really concentrate on the present one. It would've been helpful for me if I saw all 3 sentences at once. At the end I couldn't concentrate well because I was excited about ending the experiment (took too long and the sentences were all identical). Happy that I made it :),HOWMANY,Graduated High School,1628637287982,277,female,3,bulgarian,Next,NA,NA,How many of the shots did you hear coming from the school shooting?,NA,Next,NA,Wed Aug 11 2021 00:37:24 GMT+0200 (Mitteleuropäische Sommerzeit),1628635044366,37.3936,NA,question_view,1,main
2438,,NA,24,Some of the sentences weren't understandable enough for me (answers like comparably low/high when the question wasn't about numbers). Sometimes I did forget the last sentence and couldn't really concentrate on the present one. It would've been helpful for me if I saw all 3 sentences at once. At the end I couldn't concentrate well because I was excited about ending the experiment (took too long and the sentences were all identical). Happy that I made it :),SUP,Graduated High School,1628637287982,277,female,3,bulgarian,next,NA,NA,,365|206|230|239|118|254|191|190|190|158|159|214|143,next,I | heard | at | most | ten | of | the | shots | coming | from | the | school | shooting.,Wed Aug 11 2021 00:37:24 GMT+0200 (Mitteleuropäische Sommerzeit),1628635044366,37.3936,5028,answer_view,1,main
2438,"Based on this, the judge concludes:|How justified is the judge in drawing that conclusion?",7796,24,Some of the sentences weren't understandable enough for me (answers like comparably low/high when the question wasn't about numbers). Sometimes I did forget the last sentence and couldn't really concentrate on the present one. It would've been helpful for me if I saw all 3 sentences at once. At the end I couldn't concentrate well because I was excited about ending the experiment (took too long and the sentences were all identical). Happy that I made it :),NA,Graduated High School,1628637287982,277,female,3,bulgarian,NA,not justifiable at all,strongly justifiable,The witness doesn’t know exactly how many of the shots she heard coming from the school shooting.,NA,2,NA,Wed Aug 11 2021 00:37:24 GMT+0200 (Mitteleuropäische Sommerzeit),1628635044366,37.3936,NA,conclusion_view,1,main
2438,The judge asks:|The witness responds:,2666,24,Some of the sentences weren't understandable enough for me (answers like comparably low/high when the question wasn't about numbers). Sometimes I did forget the last sentence and couldn't really concentrate on the present one. It would've been helpful for me if I saw all 3 sentences at once. At the end I couldn't concentrate well because I was excited about ending the experiment (took too long and the sentences were all identical). Happy that I made it :),HOWMANY,Graduated High School,1628637287982,277,female,5,bulgarian,Next,NA,NA,How many of the bills did you see in the purse?,NA,Next,NA,Wed Aug 11 2021 00:37:24 GMT+0200 (Mitteleuropäische Sommerzeit),1628635044366,37.3936,NA,question_view,2,main
2438,,NA,24,Some of the sentences weren't understandable enough for me (answers like comparably low/high when the question wasn't about numbers). Sometimes I did forget the last sentence and couldn't really concentrate on the present one. It would've been helpful for me if I saw all 3 sentences at once. At the end I couldn't concentrate well because I was excited about ending the experiment (took too long and the sentences were all identical). Happy that I made it :),SUP,Graduated High School,1628637287982,277,female,5,bulgarian,next,NA,NA,,198|190|191|134|230|191|174|182|182|174|152,next,I | saw | at | most | ten | of | the | bills | in | the | purse.,Wed Aug 11 2021 00:37:24 GMT+0200 (Mitteleuropäische Sommerzeit),1628635044366,37.3936,4940,answer_view,2,main
2438,"Based on this, the judge concludes:|How justified is the judge in drawing that conclusion?",4147,24,Some of the sentences weren't understandable enough for me (answers like comparably low/high when the question wasn't about numbers). Sometimes I did forget the last sentence and couldn't really concentrate on the present one. It would've been helpful for me if I saw all 3 sentences at once. At the end I couldn't concentrate well because I was excited about ending the experiment (took too long and the sentences were all identical). Happy that I made it :),NA,Graduated High School,1628637287982,277,female,5,bulgarian,NA,not justifiable at all,strongly justifiable,The witness doesn’t know exactly how many of the bills she saw in the purse.,NA,2,NA,Wed Aug 11 2021 00:37:24 GMT+0200 (Mitteleuropäische Sommerzeit),1628635044366,37.3936,NA,conclusion_view,2,main
2438,The judge asks:|The witness responds:,3252,24,Some of the sentences weren't understandable enough for me (answers like comparably low/high when the question wasn't about numbers). Sometimes I did forget the last sentence and couldn't really concentrate on the present one. It would've been helpful for me if I saw all 3 sentences at once. At the end I couldn't concentrate well because I was excited about ending the experiment (took too long and the sentences were all identical). Happy that I made it :),HOWMANY,Graduated High School,1628637287982,277,female,4,bulgarian,Next,NA,NA,How many of the robbers did you see in front of the bank?,NA,Next,NA,Wed Aug 11 2021 00:37:24 GMT+0200 (Mitteleuropäische Sommerzeit),1628635044366,37.3936,NA,question_view,3,main
2438,,NA,24,Some of the sentences weren't understandable enough for me (answers like comparably low/high when the question wasn't about numbers). Sometimes I did forget the last sentence and couldn't really concentrate on the present one. It would've been helpful for me if I saw all 3 sentences at once. At the end I couldn't concentrate well because I was excited about ending the experiment (took too long and the sentences were all identical). Happy that I made it :),SUP,Graduated High School,1628637287982,277,female,4,bulgarian,next,NA,NA,,165|191|134|222|182|166|167|166|166|334|215|190|143,next,I | saw | at | most | ten | of | the | robbers | in | front | of | the | bank.,Wed Aug 11 2021 00:37:24 GMT+0200 (Mitteleuropäische Sommerzeit),1628635044366,37.3936,5536,answer_view,3,main
2438,"Based on this, the judge concludes:|How justified is the judge in drawing that conclusion?",3248,24,Some of the sentences weren't understandable enough for me (answers like comparably low/high when the question wasn't about numbers). Sometimes I did forget the last sentence and couldn't really concentrate on the present one. It would've been helpful for me if I saw all 3 sentences at once. At the end I couldn't concentrate well because I was excited about ending the experiment (took too long and the sentences were all identical). Happy that I made it :),NA,Graduated High School,1628637287982,277,female,4,bulgarian,NA,not justifiable at all,strongly justifiable,The witness doesn’t know exactly how many of the robbers she saw in front of the bank.,NA,2,NA,Wed Aug 11 2021 00:37:24 GMT+0200 (Mitteleuropäische Sommerzeit),1628635044366,37.3936,NA,conclusion_view,3,main
2438,The judge asks:|The witness responds:,2729,24,Some of the sentences weren't understandable enough for me (answers like comparably low/high when the question wasn't about numbers). Sometimes I did forget the last sentence and couldn't really concentrate on the present one. It would've been helpful for me if I saw all 3 sentences at once. At the end I couldn't concentrate well because I was excited about ending the experiment (took too long and the sentences were all identical). Happy that I made it :),HOWMANY,Graduated High School,1628637287982,277,female,2,bulgarian,Next,NA,NA,How many of the pills did you find in the bag?,NA,Next,NA,Wed Aug 11 2021 00:37:24 GMT+0200 (Mitteleuropäische Sommerzeit),1628635044366,37.3936,NA,question_view,4,main
