submission_id,QUD,RT,age,comments,condition,education,endTime,experiment_id,gender,id,languages,option1,optionLeft,optionRight,question,reaction_times,response,sentence,startDate,startTime,timeSpent,time_spent,trial_name,trial_number,type
2778,The judge asks:|The witness responds:,36780,35,Nice to be ready ;),POLAR,Higher Degree,1629672760595,277,female,3,"German, Italian",Next,NA,NA,Did you hear at most ten of the shots coming from the school shooting?,NA,Next,NA,Sun Aug 22 2021 23:01:07 GMT+0200 (CEST),1629666067389,111.55343333333333,NA,question_view,1,main
2778,,NA,35,Nice to be ready ;),SUP,Higher Degree,1629672760595,277,female,3,"German, Italian",next,NA,NA,,954|2196|618|574|529|810|450|428|495|483|439|518|698,next,I | heard | at | most | ten | of | the | shots | coming | from | the | school | shooting.,Sun Aug 22 2021 23:01:07 GMT+0200 (CEST),1629666067389,111.55343333333333,43405,answer_view,1,main
2778,"Based on this, the judge concludes:|How justified is the judge in drawing that conclusion?",37283,35,Nice to be ready ;),NA,Higher Degree,1629672760595,277,female,3,"German, Italian",NA,not justifiable at all,strongly justifiable,The witness doesn’t know exactly how many of the shots she heard coming from the school shooting.,NA,1,NA,Sun Aug 22 2021 23:01:07 GMT+0200 (CEST),1629666067389,111.55343333333333,NA,conclusion_view,1,main
2778,The judge asks:|The witness responds:,11926,35,Nice to be ready ;),POLAR,Higher Degree,1629672760595,277,female,5,"German, Italian",Next,NA,NA,Did you see at most ten of the bills in the purse?,NA,Next,NA,Sun Aug 22 2021 23:01:07 GMT+0200 (CEST),1629666067389,111.55343333333333,NA,question_view,2,main
2778,,NA,35,Nice to be ready ;),SUP,Higher Degree,1629672760595,277,female,5,"German, Italian",next,NA,NA,,618|608|483|1239|1383|630|1879|1091|529|394|428,next,I | saw | at | most | ten | of | the | bills | in | the | purse.,Sun Aug 22 2021 23:01:07 GMT+0200 (CEST),1629666067389,111.55343333333333,13387,answer_view,2,main
2778,"Based on this, the judge concludes:|How justified is the judge in drawing that conclusion?",15525,35,Nice to be ready ;),NA,Higher Degree,1629672760595,277,female,5,"German, Italian",NA,not justifiable at all,strongly justifiable,The witness doesn’t know exactly how many of the bills she saw in the purse.,NA,1,NA,Sun Aug 22 2021 23:01:07 GMT+0200 (CEST),1629666067389,111.55343333333333,NA,conclusion_view,2,main
2778,The judge asks:|The witness responds:,12264,35,Nice to be ready ;),POLAR,Higher Degree,1629672760595,277,female,4,"German, Italian",Next,NA,NA,Did you see at most ten of the robbers in front of the bank?,NA,Next,NA,Sun Aug 22 2021 23:01:07 GMT+0200 (CEST),1629666067389,111.55343333333333,NA,question_view,3,main
2778,,NA,35,Nice to be ready ;),SUP,Higher Degree,1629672760595,277,female,4,"German, Italian",next,NA,NA,,551|765|450|439|776|518|371|450|518|528|799|484|900,next,I | saw | at | most | ten | of | the | robbers | in | front | of | the | bank.,Sun Aug 22 2021 23:01:07 GMT+0200 (CEST),1629666067389,111.55343333333333,10979,answer_view,3,main
2778,"Based on this, the judge concludes:|How justified is the judge in drawing that conclusion?",37656,35,Nice to be ready ;),NA,Higher Degree,1629672760595,277,female,4,"German, Italian",NA,not justifiable at all,strongly justifiable,The witness doesn’t know exactly how many of the robbers she saw in front of the bank.,NA,2,NA,Sun Aug 22 2021 23:01:07 GMT+0200 (CEST),1629666067389,111.55343333333333,NA,conclusion_view,3,main
2778,The judge asks:|The witness responds:,12126,35,Nice to be ready ;),POLAR,Higher Degree,1629672760595,277,female,2,"German, Italian",Next,NA,NA,Did you find at most ten of the pills in the bag?,NA,Next,NA,Sun Aug 22 2021 23:01:07 GMT+0200 (CEST),1629666067389,111.55343333333333,NA,question_view,4,main
2778,,NA,35,Nice to be ready ;),SUP,Higher Degree,1629672760595,277,female,2,"German, Italian",next,NA,NA,,461|450|484|528|541|461|439|551|427|732|529,next,I | found | at | most | ten | of | the | pills | in  | the | bag.,Sun Aug 22 2021 23:01:07 GMT+0200 (CEST),1629666067389,111.55343333333333,9664,answer_view,4,main
2778,"Based on this, the judge concludes:|How justified is the judge in drawing that conclusion?",12759,35,Nice to be ready ;),NA,Higher Degree,1629672760595,277,female,2,"German, Italian",NA,not justifiable at all,strongly justifiable,The witness doesn’t know exactly how many of the pills she found in the bag.,NA,2,NA,Sun Aug 22 2021 23:01:07 GMT+0200 (CEST),1629666067389,111.55343333333333,NA,conclusion_view,4,main
2778,The judge asks:|The witness responds:,13972,35,Nice to be ready ;),POLAR,Higher Degree,1629672760595,277,female,1,"German, Italian",Next,NA,NA,Did you find at most ten of the coins in the wallet?,NA,Next,NA,Sun Aug 22 2021 23:01:07 GMT+0200 (CEST),1629666067389,111.55343333333333,NA,question_view,5,main
2778,,NA,35,Nice to be ready ;),SUP,Higher Degree,1629672760595,277,female,1,"German, Italian",next,NA,NA,,439|416|405|371|416|462|416|427|473|439|585,next,I | found | at | most | ten | of | the | coins | in | the | wallet.,Sun Aug 22 2021 23:01:07 GMT+0200 (CEST),1629666067389,111.55343333333333,9023,answer_view,5,main
2778,"Based on this, the judge concludes:|How justified is the judge in drawing that conclusion?",7901,35,Nice to be ready ;),NA,Higher Degree,1629672760595,277,female,1,"German, Italian",NA,not justifiable at all,strongly justifiable,The witness doesn’t know exactly how many of the coins she found in the wallet.,NA,2,NA,Sun Aug 22 2021 23:01:07 GMT+0200 (CEST),1629666067389,111.55343333333333,NA,conclusion_view,5,main
2778,The judge asks:|The witness responds:,181770,35,Nice to be ready ;),POLAR,Higher Degree,1629672760595,277,female,6,"German, Italian",Next,NA,NA,Did you find at most ten of the shot glasses on the kitchen counter?,NA,Next,NA,Sun Aug 22 2021 23:01:07 GMT+0200 (CEST),1629666067389,111.55343333333333,NA,question_view,6,main
2778,,NA,35,Nice to be ready ;),SUP,Higher Degree,1629672760595,277,female,6,"German, Italian",next,NA,NA,,538|439|450|473|483|507|483|529|585|473|428|539|642,next,I | found | at | most | ten | of | the | shot | glasses | on | the | kitchen | counter. ,Sun Aug 22 2021 23:01:07 GMT+0200 (CEST),1629666067389,111.55343333333333,24152,answer_view,6,main
2778,"Based on this, the judge concludes:|How justified is the judge in drawing that conclusion?",25921,35,Nice to be ready ;),NA,Higher Degree,1629672760595,277,female,6,"German, Italian",NA,not justifiable at all,strongly justifiable,The witness doesn’t know exactly how many of the shot glasses she found on the kitchen counter.,NA,1,NA,Sun Aug 22 2021 23:01:07 GMT+0200 (CEST),1629666067389,111.55343333333333,NA,conclusion_view,6,main
2778,The judge asks:|The witness responds:,7851,35,Nice to be ready ;),HOWMANY,Higher Degree,1629672760595,277,female,6,"German, Italian",Next,NA,NA,How many animals did you see roaming in the forest?,NA,Next,NA,Sun Aug 22 2021 23:01:07 GMT+0200 (CEST),1629666067389,111.55343333333333,NA,fill_question,1,filler-ov
2778,,NA,35,Nice to be ready ;),COMP,Higher Degree,1629672760595,277,female,6,"German, Italian",Next,NA,NA,,484|484|551|686|541|1057|585|540|810|405|1542,Next,I | only | saw | less | than | ten | animals | roaming | in | the | forest.,Sun Aug 22 2021 23:01:07 GMT+0200 (CEST),1629666067389,111.55343333333333,11947,fill_answer,1,filler-ov
2778,"Based on this, the judge concludes:|How justified is the judge in drawing that conclusion?",10936,35,Nice to be ready ;),NA,Higher Degree,1629672760595,277,female,6,"German, Italian",NA,not justifiable at all,strongly justifiable,The witness considers it possible that she saw nine animals roaming in the forest.,NA,5,NA,Sun Aug 22 2021 23:01:07 GMT+0200 (CEST),1629666067389,111.55343333333333,NA,fill_conclusion,1,filler-ov
2778,The judge asks:|The witness responds:,10541,35,Nice to be ready ;),WHAT,Higher Degree,1629672760595,277,female,8,"German, Italian",Next,NA,NA,What did you certainly find in the locker?,NA,Next,NA,Sun Aug 22 2021 23:01:07 GMT+0200 (CEST),1629666067389,111.55343333333333,NA,fill_question,2,filler-ov
2778,,NA,35,Nice to be ready ;),SUP,Higher Degree,1629672760595,277,female,8,"German, Italian",Next,NA,NA,,405|371|551|484|630|472|721|506|450|416|596|721|1036,Next,I | only | found | at | most | ten | pictures | of | the | assault | in | the | locker.,Sun Aug 22 2021 23:01:07 GMT+0200 (CEST),1629666067389,111.55343333333333,10991,fill_answer,2,filler-ov
2778,"Based on this, the judge concludes:|How justified is the judge in drawing that conclusion?",43359,35,Nice to be ready ;),NA,Higher Degree,1629672760595,277,female,8,"German, Italian",NA,not justifiable at all,strongly justifiable,The witness considers it possible that she saw nine pictures of the assault in the locker.,NA,2,NA,Sun Aug 22 2021 23:01:07 GMT+0200 (CEST),1629666067389,111.55343333333333,NA,fill_conclusion,2,filler-ov
2778,The judge asks:|The witness responds:,10304,35,Nice to be ready ;),HOWMANY,Higher Degree,1629672760595,277,female,8,"German, Italian",Next,NA,NA,How many pictures of the assault did you find in the locker?,NA,Next,NA,Sun Aug 22 2021 23:01:07 GMT+0200 (CEST),1629666067389,111.55343333333333,NA,fill_question,3,filler-oi
2778,,NA,35,Nice to be ready ;),COMP,Higher Degree,1629672760595,277,female,8,"German, Italian",Next,NA,NA,,439|449|540|473|495|529|427|506|439|416|439|709,Next,I | found | only | less | than | ten | pictures | of the | assault | in | the | locker.,Sun Aug 22 2021 23:01:07 GMT+0200 (CEST),1629666067389,111.55343333333333,9393,fill_answer,3,filler-oi
